name,factory,tvl,fee,contract,token_1,token_2
quickswap,0x5757371414417b8c6caad45baef941abc7d3ab32,0,0.003,0x404739ee570a55be1ff5e76b1be7c2a49018269d,0x61daecab65ee2a1d5b6032df030f3faa3d116aa7,0xea9317f3ec4bdabe817e90127f29cd58992c143c
quickswap,0x5757371414417b8c6caad45baef941abc7d3ab32,427.085381193110554007,0.003,0x8105d1603f66291019e80d0ca7d06a7acdcf5fd9,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0x1c779ec50d99e06f0cd34e894cc8cc1ddb7ad160
quickswap,0x5757371414417b8c6caad45baef941abc7d3ab32,0.000055659270210576,0.003,0xea3a9008d3a7676eead0fe1c7cf87815b8ea38ef,0x012e89b2eba5d449ba6e5e3057f7112ec9c3fd86,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270
quickswap,0x5757371414417b8c6caad45baef941abc7d3ab32,0.000007131351430946,0.003,0xd2992c2944a054f2e960f7729644da9f37df2a60,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0x871e5f8767439d7dd914f89934c81cd67a00c56a
quickswap,0x5757371414417b8c6caad45baef941abc7d3ab32,0,0.003,0xeb8c6d4e17a8088446ddd3ad9d23d6bc0f3c7014,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0x828f08f3cca64fecf632a5b06eb8618b698739eb
quickswap,0x5757371414417b8c6caad45baef941abc7d3ab32,0,0.003,0x137654d154b461403be6258676b3b7b6c708a338,0x61daecab65ee2a1d5b6032df030f3faa3d116aa7,0xd79b4eb70d9d6e08e70e8c8686f99f0e646a9deb
quickswap,0x5757371414417b8c6caad45baef941abc7d3ab32,10.015342735446315536,0.003,0x26b8afdcc114e972e0d0767522c592d041cd4da0,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0x7d43adecb388cd8b2383eb3beb0a0ab12f5eb92e
quickswap,0x5757371414417b8c6caad45baef941abc7d3ab32,427.080703342993500007,0.003,0x1bc0c6ec6c7ce5c84b890b56134764e1144490d0,0x238b8276324e3028ec5e539aba332fa967b33d2f,0x61daecab65ee2a1d5b6032df030f3faa3d116aa7
quickswap,0x5757371414417b8c6caad45baef941abc7d3ab32,0,0.003,0x3e0b863d41ff83a7ad427f0aa1f3d311e9555aa0,0x9235817a7977120ae06ba5ab4e1d800563dd2d21,0xb2c5ddfb0228a72d51d43938597033481ee96faf
quickswap,0x5757371414417b8c6caad45baef941abc7d3ab32,0.000001280455972125,0.003,0x5bad12acdc771e1b05de24ff8e19aa3c87074aa8,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x73d131e8ab4931aa2497d53061ad4632c41cfbb1
